Тренирање на DQN агент...
DDQNAgent | Епизода  64 | Макс. позиција: -0.48 | Вкупна награда:    29.9 | Епсилон: 0.73
DDQNAgent | Епизода  65 | Макс. позиција: -0.37 | Вкупна награда:   161.5 | Епсилон: 0.72
DDQNAgent | Епизода  66 | Макс. позиција: -0.42 | Вкупна награда:   132.9 | Епсилон: 0.72
DDQNAgent | Епизода  67 | Макс. позиција: -0.40 | Вкупна награда:   184.9 | Епсилон: 0.71
DDQNAgent | Епизода  68 | Макс. позиција: -0.49 | Вкупна награда:    94.5 | Епсилон: 0.71
DDQNAgent | Епизода  69 | Макс. позиција: -0.48 | Вкупна награда:    85.5 | Епсилон: 0.71
DDQNAgent | Епизода  70 | Макс. позиција: -0.41 | Вкупна награда:   111.4 | Епсилон: 0.70
DDQNAgent | Епизода  71 | Макс. позиција: -0.38 | Вкупна награда:   261.5 | Епсилон: 0.70
DDQNAgent | Епизода  72 | Макс. позиција: -0.44 | Вкупна награда:   138.7 | Епсилон: 0.70
DDQNAgent | Епизода  73 | Макс. позиција: -0.36 | Вкупна награда:   197.9 | Епсилон: 0.69
DDQNAgent | Епизода  74 | Макс. позиција: -0.01 | Вкупна награда:  1827.1 | Епсилон: 0.69
DDQNAgent | Епизода  75 | Макс. позиција: -0.36 | Вкупна награда:   152.6 | Епсилон: 0.69
DDQNAgent | Епизода  76 | Макс. позиција: -0.14 | Вкупна награда:  1159.6 | Епсилон: 0.68
DDQNAgent | Епизода  77 | Макс. позиција: -0.40 | Вкупна награда:   178.2 | Епсилон: 0.68
DDQNAgent | Епизода  78 | Макс. позиција: -0.09 | Вкупна награда:  1428.4 | Епсилон: 0.68
DDQNAgent | Епизода  79 | Макс. позиција: -0.26 | Вкупна награда:   511.7 | Епсилон: 0.67
DDQNAgent | Епизода  80 | Макс. позиција: -0.21 | Вкупна награда:   689.7 | Епсилон: 0.67
DDQNAgent | Епизода  81 | Макс. позиција: -0.22 | Вкупна награда:   836.1 | Епсилон: 0.67
DDQNAgent | Епизода  82 | Макс. позиција: -0.35 | Вкупна награда:   287.8 | Епсилон: 0.66
DDQNAgent | Епизода  83 | Макс. позиција: -0.22 | Вкупна награда:   523.0 | Епсилон: 0.66
DDQNAgent | Епизода  84 | Макс. позиција: -0.06 | Вкупна награда:  1384.4 | Епсилон: 0.66
DDQNAgent | Епизода  85 | Макс. позиција: -0.19 | Вкупна награда:   710.8 | Епсилон: 0.65
DDQNAgent | Епизода  86 | Макс. позиција:  0.07 | Вкупна награда:  1187.6 | Епсилон: 0.65
DDQNAgent | Епизода  87 | Макс. позиција: -0.08 | Вкупна награда:   736.3 | Епсилон: 0.65
DDQNAgent | Епизода  88 | Макс. позиција: -0.37 | Вкупна награда:    93.8 | Епсилон: 0.64
DDQNAgent | Епизода  89 | Макс. позиција:  0.17 | Вкупна награда:  1581.2 | Епсилон: 0.64
DDQNAgent | Епизода  90 | Макс. позиција: -0.42 | Вкупна награда:    -3.2 | Епсилон: 0.64
DDQNAgent | Епизода  91 | Макс. позиција: -0.38 | Вкупна награда:    20.6 | Епсилон: 0.63
DDQNAgent | Епизода  92 | Макс. позиција: -0.37 | Вкупна награда:    34.7 | Епсилон: 0.63
DDQNAgent | Епизода  93 | Макс. позиција: -0.34 | Вкупна награда:   114.2 | Епсилон: 0.63
DDQNAgent | Епизода  94 | Макс. позиција: -0.25 | Вкупна награда:   523.0 | Епсилон: 0.62
DDQNAgent | Епизода  95 | Макс. позиција: -0.38 | Вкупна награда:    22.4 | Епсилон: 0.62
DDQNAgent | Епизода  96 | Макс. позиција: -0.15 | Вкупна награда:  1113.4 | Епсилон: 0.62
DDQNAgent | Епизода  97 | Макс. позиција: -0.27 | Вкупна награда:   145.4 | Епсилон: 0.61
DDQNAgent | Епизода  98 | Макс. позиција: -0.25 | Вкупна награда:   226.3 | Епсилон: 0.61
DDQNAgent | Епизода  99 | Макс. позиција: -0.38 | Вкупна награда:    43.0 | Епсилон: 0.61
DDQNAgent | Епизода 100 | Макс. позиција: -0.34 | Вкупна награда:   234.3 | Епсилон: 0.61
DDQNAgent | Епизода 101 | Макс. позиција: -0.25 | Вкупна награда:   260.9 | Епсилон: 0.60
DDQNAgent | Епизода 102 | Макс. позиција: -0.39 | Вкупна награда:    19.6 | Епсилон: 0.60
DDQNAgent | Епизода 103 | Макс. позиција: -0.34 | Вкупна награда:    97.2 | Епсилон: 0.60
DDQNAgent | Епизода 104 | Макс. позиција: -0.36 | Вкупна награда:    37.6 | Епсилон: 0.59
